Game Turn, Player, Belief, Score
5, 0, BELIEF_DANCE_OF_THE_AURORA, 0.0
5, 0, BELIEF_DESERT_FOLKLORE, 105.0
5, 0, BELIEF_SACRED_PATH, 388.0
5, 0, BELIEF_RIVER_GODDESS, 0.0
5, 0, BELIEF_MONUMENT_TO_THE_GODS, 0.0
5, 0, BELIEF_DIVINE_SPARK, 0.0
5, 0, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
5, 0, BELIEF_GOD_OF_THE_SEA, 0.0
5, 0, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
5, 0, BELIEF_GODDESS_OF_THE_HUNT, 0.0
5, 0, BELIEF_STONE_CIRCLES, 0.0
5, 0, BELIEF_RELIGIOUS_IDOLS, 0.0
5, 0, BELIEF_GOD_OF_CRAFTSMEN, 0.0
5, 0, BELIEF_GODDESS_OF_FESTIVALS, 0.0
5, 0, BELIEF_GOD_OF_THE_FORGE, 45.0
5, 0, BELIEF_INITIATION_RITES, 0.0
5, 0, BELIEF_GOD_OF_HEALING, 0.0
5, 0, BELIEF_GOD_OF_WAR, 0.0
5, 0, BELIEF_FERTILITY_RITES, 54.0
5, 0, BELIEF_RELIGIOUS_SETTLEMENTS, 96.0
5, 0, BELIEF_CITY_PATRON_GODDESS, 0.0
5, 0, BELIEF_EARTH_GODDESS, 0.0
5, 0, BELIEF_DIVINE_INSPIRATION, 0.0
5, 0, BELIEF_FEED_THE_WORLD, 0.0
5, 0, BELIEF_JESUIT_EDUCATION, 0.0
5, 0, BELIEF_RELIQUARIES, 0.0
5, 0, BELIEF_RELIGIOUS_COMMUNITY, 0.0
5, 0, BELIEF_WORK_ETHIC, 0.0
5, 0, BELIEF_ZEN_MEDITATION, 0.0
5, 0, BELIEF_CHORAL_MUSIC, 0.0
5, 0, BELIEF_WARRIOR_MONKS, 130.0
5, 0, BELIEF_CATHEDRAL, 1209.0
5, 0, BELIEF_GURDWARA, 1271.0
5, 0, BELIEF_MEETING_HOUSE, 1525.0
5, 0, BELIEF_MOSQUE, 706.0
5, 0, BELIEF_PAGODA, 23.0
5, 0, BELIEF_SYNAGOGUE, 1130.0
5, 0, BELIEF_WAT, 1326.0
5, 0, BELIEF_STUPA, 70.0
5, 0, BELIEF_DAR_E_MEHR, 706.0
5, 0, BELIEF_CHURCH_PROPERTY, 0.0
5, 0, BELIEF_LAY_MINISTRY, 0.0
5, 0, BELIEF_PAPAL_PRIMACY, 0.0
5, 0, BELIEF_PILGRIMAGE, 0.0
5, 0, BELIEF_STEWARDSHIP, 0.0
5, 0, BELIEF_TITHE, 0.0
5, 0, BELIEF_WORLD_CHURCH, 0.0
5, 0, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
5, 0, BELIEF_RELIGIOUS_UNITY, 0.0
5, 0, BELIEF_DEFENDER_OF_FAITH, 0.0
5, 0, BELIEF_HOLY_ORDER, 0.0
5, 0, BELIEF_ITINERANT_PREACHERS, 0.0
5, 0, BELIEF_JUST_WAR, 0.0
5, 0, BELIEF_MISSIONARY_ZEAL, 114.0
5, 0, BELIEF_MONASTIC_ISOLATION, 0.0
5, 0, BELIEF_SCRIPTURE, 0.0
5, 0, BELIEF_BURIAL_GROUNDS, 0.0
5, 0, BELIEF_RELIGIOUS_COLONIZATION, 0.0
5, 0, BELIEF_GODDESS_OF_FIRE, 0.0
5, 1, BELIEF_DANCE_OF_THE_AURORA, 0.0
5, 1, BELIEF_DESERT_FOLKLORE, 105.0
5, 1, BELIEF_SACRED_PATH, 317.0
5, 1, BELIEF_RIVER_GODDESS, 0.0
5, 1, BELIEF_MONUMENT_TO_THE_GODS, 0.0
5, 1, BELIEF_DIVINE_SPARK, 0.0
5, 1, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 47.0
5, 1, BELIEF_GOD_OF_THE_SEA, 0.0
5, 1, BELIEF_GOD_OF_THE_OPEN_SKY, 0.0
5, 1, BELIEF_GODDESS_OF_THE_HUNT, 0.0
5, 1, BELIEF_STONE_CIRCLES, 0.0
5, 1, BELIEF_RELIGIOUS_IDOLS, 0.0
5, 1, BELIEF_GOD_OF_CRAFTSMEN, 0.0
5, 1, BELIEF_GODDESS_OF_FESTIVALS, 0.0
5, 1, BELIEF_GOD_OF_THE_FORGE, 107.0
5, 1, BELIEF_INITIATION_RITES, 0.0
5, 1, BELIEF_GOD_OF_HEALING, 0.0
5, 1, BELIEF_GOD_OF_WAR, 0.0
5, 1, BELIEF_FERTILITY_RITES, 54.0
5, 1, BELIEF_RELIGIOUS_SETTLEMENTS, 118.0
5, 1, BELIEF_CITY_PATRON_GODDESS, 0.0
5, 1, BELIEF_EARTH_GODDESS, 188.0
5, 1, BELIEF_DIVINE_INSPIRATION, 0.0
5, 1, BELIEF_FEED_THE_WORLD, 0.0
5, 1, BELIEF_JESUIT_EDUCATION, 0.0
5, 1, BELIEF_RELIQUARIES, 0.0
5, 1, BELIEF_RELIGIOUS_COMMUNITY, 0.0
