Game Turn, Player, KnowledgeType, Location, Other
5, 0, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
5, 0, TRADE, TO -1, VAL 0.00
5, 0, CITY, 57:33, 0, 1, 100, 24.00, 1, 1, 3, 27, 1, Is original capital, Is capital
5, 0, ARMY,, UNIT_SETTLER 1 4,UNIT_BUILDER 1 0,UNIT_SCOUT 3 0,UNIT_WARRIOR 1 0,
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 0, ARMY,, 
5, 1, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
5, 1, TRADE, TO -1, VAL 0.00
5, 1, CITY, 68:33, 0, 1, 100, 23.00, 1, 1, 3, 32, 0, Is original capital, Is capital
5, 1, ARMY,, 
5, 1, ARMY,, UNIT_SETTLER 2 4,UNIT_BUILDER 1 0,UNIT_WARRIOR 5 0,
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, 
5, 1, ARMY,, UNIT_SCOUT 1 1,
5, 2, START LOG, , YIELD_FOOD 4.00 +/- 0.81,YIELD_PRODUCTION 5.25 +/- 4.57,YIELD_GOLD 6.25 +/- 5.05,YIELD_SCIENCE 2.50 +/- 2.51,YIELD_CULTURE 0.75 +/- 0.49,YIELD_FAITH 0.00 +/- 0.00,
5, 2, TRADE, TO -1, VAL 0.00
5, 2, CITY, 61:22, 0, 1, 100, 23.00, 1, 1, 3, 35, 0, Is original capital, Is capital
5, 2, CITY, 57:26, 0, 1, 100, 35.08, 1, 2, 27, 17, 0, Is original capital, Is capital
5, 2, CITY, 65:17, 0, 1, 100, 35.16, 1, 2, 27, 14, 0, Is original capital, Is capital
5, 2, CITY, 60:18, 0, 1, 100, 20.00, 1, 1, 10, 9, 0, Not original capital, Not capital
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, UNIT_SETTLER 3 4,UNIT_BUILDER 2 0,UNIT_WARRIOR 5 0,
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, UNIT_WARRIOR 3 1,
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, UNIT_WARRIOR 1 1,
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 2, ARMY,, 
5, 3, START LOG, , YIELD_FOOD 4.00 +/- 0.00,YIELD_PRODUCTION 6.00 +/- 5.66,YIELD_GOLD 7.50 +/- 3.54,YIELD_SCIENCE 3.00 +/- 0.00,YIELD_CULTURE 1.00 +/- 0.00,YIELD_FAITH 1.00 +/- 1.41,
5, 3, TRADE, TO -1, VAL 0.00
5, 3, CITY, 8:25, 0, 1, 100, 23.00, 1, 1, 3, 30, 0, Is original capital, Is capital
5, 3, CITY, 16:23, 0, 1, 100, 45.00, 1, 2, 22, 15, 0, Is original capital, Is capital
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, UNIT_SETTLER 2 3,UNIT_BUILDER 1 0,UNIT_WARRIOR 5 0,
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, UNIT_WARRIOR 2 0,
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
5, 3, ARMY,, 
